Mo.ANO-RCC-MB                            Mo.ANO-RCC...5s4p2d.
Mo.ANO-RCC-VDZ                           Mo.ANO-RCC...6s5p3d.
Mo.ANO-RCC-VDZP                          Mo.ANO-RCC...6s5p3d1f.
Mo.ANO-RCC-VTZP                          Mo.ANO-RCC...7s6p4d2f1g.
Mo.ANO-RCC-VQZP                          Mo.ANO-RCC...8s7p5d3f2g1h.
Tc.ANO-RCC-MB                            Tc.ANO-RCC...5s4p2d.
Tc.ANO-RCC-VDZ                           Tc.ANO-RCC...6s5p3d.
Tc.ANO-RCC-VDZP                          Tc.ANO-RCC...6s5p3d1f.
Tc.ANO-RCC-VTZP                          Tc.ANO-RCC...7s6p4d2f1g.
Tc.ANO-RCC-VQZP                          Tc.ANO-RCC...8s7p5d3f2g1h.
Ru.ANO-RCC-MB                            Ru.ANO-RCC...5s4p2d.
Ru.ANO-RCC-VDZ                           Ru.ANO-RCC...6s5p3d.
Ru.ANO-RCC-VDZP                          Ru.ANO-RCC...6s5p3d1f.
Ru.ANO-RCC-VTZP                          Ru.ANO-RCC...7s6p4d2f1g.
Ru.ANO-RCC-VQZP                          Ru.ANO-RCC...8s7p5d3f2g1h.
Rh.ANO-RCC-MB                            Rh.ANO-RCC...5s4p2d.
Rh.ANO-RCC-VDZ                           Rh.ANO-RCC...6s5p3d.
Rh.ANO-RCC-VDZP                          Rh.ANO-RCC...6s5p3d1f.
Rh.ANO-RCC-VTZP                          Rh.ANO-RCC...7s6p4d2f1g.
Rh.ANO-RCC-VQZP                          Rh.ANO-RCC...8s7p5d3f2g1h.
Pd.ANO-RCC-MB                            Pd.ANO-RCC...5s4p2d.
Pd.ANO-RCC-VDZ                           Pd.ANO-RCC...6s5p3d.
Pd.ANO-RCC-VDZP                          Pd.ANO-RCC...6s5p3d1f.
Pd.ANO-RCC-VTZP                          Pd.ANO-RCC...7s6p4d2f1g.
Pd.ANO-RCC-VQZP                          Pd.ANO-RCC...8s7p5d3f2g1h.
Ag.ANO-RCC-MB                            Ag.ANO-RCC...5s4p2d.
Ag.ANO-RCC-VDZ                           Ag.ANO-RCC...6s5p3d.
Ag.ANO-RCC-VDZP                          Ag.ANO-RCC...6s5p3d1f.
Ag.ANO-RCC-VTZP                          Ag.ANO-RCC...7s6p4d2f1g.
Ag.ANO-RCC-VQZP                          Ag.ANO-RCC...8s7p5d3f2g1h.
Cd.ANO-RCC-MB                            Cd.ANO-RCC...5s4p2d.
Cd.ANO-RCC-VDZ                           Cd.ANO-RCC...6s5p3d.
Cd.ANO-RCC-VDZP                          Cd.ANO-RCC...6s5p3d1f.
Cd.ANO-RCC-VTZP                          Cd.ANO-RCC...7s6p4d2f1g.
Cd.ANO-RCC-VQZP                          Cd.ANO-RCC...8s7p5d3f2g1h.
In.ANO-RCC-MB                            In.ANO-RCC...5s4p2d.
In.ANO-RCC-VDZ                           In.ANO-RCC...6s5p2d.
In.ANO-RCC-VDZP                          In.ANO-RCC...6s5p3d1f.
In.ANO-RCC-VTZP                          In.ANO-RCC...7s6p4d2f1g.
In.ANO-RCC-VQZP                          In.ANO-RCC...8s7p5d3f2g.
Sn.ANO-RCC-MB                            Sn.ANO-RCC...5s4p2d.
Sn.ANO-RCC-VDZ                           Sn.ANO-RCC...6s5p2d.
Sn.ANO-RCC-VDZP                          Sn.ANO-RCC...6s5p3d1f.
Sn.ANO-RCC-VTZP                          Sn.ANO-RCC...7s6p4d2f1g.
Sn.ANO-RCC-VQZP                          Sn.ANO-RCC...8s7p5d3f2g.
